organism_name
Abeoforma whisleri
Synstelium polycarpum
Synura sp. LO234KE
Tabularia sp. RCC1743
Tetmemena sp. SeJ-2015
Tetrahymena borealis
Tetrahymena elliotti 4EA
Tetrahymena malaccensis
Tetrahymena malaccensis 436
Tetrahymena thermophila
Tetrahymena thermophila SB210
Tetrahymena utriculariae
Tetramitus jugosus
Tetramitus sp.
Tetraparma gracilis
Thalassiosira allenii
Thalassiosira delicatula
Thalassiosira exigua
Thalassiosira gravida
Thalassiosira hispida
Thalassiosira livingstoniorum
Thalassiosira mediterranea
Thalassiosira oceanica
Thalassiosira ordinaria
Thalassiosira pacifica
Thalassiosira profunda
Thalassiosira pseudonana CCMP1335
Thalassiosira rotula
Thalassiosira sp.
Thalassiosira sp. AJA248-18
Thalassiosira sundarbana
Thalassiosira tumida
Thecamonas trahens ATCC 50062
Theileria annulata
Theileria equi
Theileria equi strain WA
Theileria haneyi
Theileria luwenshuni
Theileria orientalis
Theileria orientalis strain Shintoku
Theileria parva
Theileria parva lawrencei
Theileria parva parva
Theileria parva strain Muguga
Theileria sp. buffalo
Thraustochytriaceae sp. 12B
Thraustochytrium aureum
Thraustochytrium sp. ATCC 26185
Thraustochytrium sp. TN22
Thraustochytrium striatum
Thraustotheca clavata
Tieghemostelium lacteum
Toxoplasma gondii
Toxoplasma gondii ARI
Toxoplasma gondii CAST
Toxoplasma gondii COUG
Toxoplasma gondii CtCo5
Toxoplasma gondii FOU
Toxoplasma gondii GAB2-2007-GAL-DOM2
Toxoplasma gondii GT1
Toxoplasma gondii MAS
Toxoplasma gondii ME49
Toxoplasma gondii RH
Toxoplasma gondii RUB
Toxoplasma gondii TgCATBr5
Toxoplasma gondii TgCATBr9
Toxoplasma gondii TgCatPRC2
Toxoplasma gondii VAND
Toxoplasma gondii VEG
Toxoplasma gondii p89
Tribonema minus
Trichomonas gallinae
Trichomonas sp. genotype 1c
Trichomonas sp. genotype 2a
Trichomonas tenax
Trichomonas vaginalis
Trichomonas vaginalis G3
Trichosphaerium sp. ATCC 40318
Triparma columacea
Triparma laevis f. inornata
Triparma laevis f. longispina
Triparma retinervis
Triparma strigata
Triparma verrucosa
Tritrichomonas casperi
Tritrichomonas foetus
Tritrichomonas musculus
Tritrichomonas sp. LL5
Tritrichomonas sp. MEG-2016a ic1
Trypanosoma avium
Trypanosoma boissoni
Trypanosoma brucei
Trypanosoma brucei brucei
Trypanosoma brucei brucei TREU927
Trypanosoma brucei equiperdum
Trypanosoma brucei gambiense DAL972
Trypanosoma caninum
Trypanosoma carassii
Trypanosoma congolense
Trypanosoma congolense IL3000
Trypanosoma conorhini
Trypanosoma cruzi
Trypanosoma cruzi Dm28c
Trypanosoma cruzi JR cl. 4
Trypanosoma cruzi Tula cl2
Trypanosoma cruzi cruzi
Trypanosoma cruzi marinkellei
Trypanosoma cruzi strain Esmeraldo
Trypanosoma equiperdum
Trypanosoma erneyi
Trypanosoma evansi
Trypanosoma grayi
Trypanosoma grosi
Trypanosoma larimichthysi
Trypanosoma lewisi
Trypanosoma mega
Trypanosoma melophagium
Trypanosoma musculi
Trypanosoma pestanai
Trypanosoma platydactyli
Trypanosoma rangeli
Trypanosoma rangeli SC58
Trypanosoma scelopori
Trypanosoma suis
Trypanosoma theileri
Trypanosoma vivax
Trypanosoma vivax Y486
Trypanosomatidae sp. Fi-14
Trypanosomatidae sp. JR-2017a
Trypanosomatidae sp. JR-2017b
Undaria pinnatifida
Uroleptopsis citrina
Uronychia binucleata
Uronychia setigera
Urostyla sp. PUJRC_G1
Vannella sp.
Vaucheria bursata
Veerella sp. RCC6043
Vermamoeba vermiformis
Vickermania ingenoplastis
Vickermania spadyakhi
Vischeria sp. NIBR-HCW20
Vischeria sp. WL1
Vitrella brassicaformis
Wallacemonas collosoma
Wallacemonas rigidus
Wallacemonas sp. 195SL
Wallacemonas sp. MBr04
Wallacemonas sp. TrypX
Wallacemonas sp. Wsd
Willaertia magna
Zelonia costaricensis
[Pythium] brassicae (nom. inval.)
uncultured Bacillariales
uncultured Blastocystis sp.
uncultured Cafeteriaceae
uncultured Chrysochromulina
uncultured Cryptomonadales
uncultured Oligohymenophorea
uncultured Thalassiosira
uncultured ciliate
uncultured eukaryote
uncultured freshwater cryptophyte
